DATE,USAGDPDEFQISMEI
1975-01-01,27.8413916539705
1975-04-01,28.2551499671507
1975-07-01,28.7545040386883
1975-10-01,29.2355284669245
1976-01-01,29.5444717662103
1976-04-01,29.8423287262061
1976-07-01,30.2278663792675
1976-10-01,30.7693618137056
1977-01-01,31.2649369508068
1977-04-01,31.705995380382
1977-07-01,32.0918015964887
1977-10-01,32.7848428402104
1978-01-01,33.2617338863606
1978-04-01,33.8978226852682
1978-07-01,34.4732014404866
1978-10-01,35.179112951511
1979-01-01,35.8200296505219
1979-04-01,36.6971556369148
1979-07-01,37.4993955981812
1979-10-01,38.1955709915258
1980-01-01,38.9978250522084
1980-04-01,39.9254584074127
1980-07-01,40.8179224780407
1980-10-01,41.8812803091496
1981-01-01,42.9839983835983
1981-04-01,43.8361620252888
1981-07-01,44.660792928616
1981-10-01,45.4326062402591
1982-01-01,46.0579011640668
1982-04-01,46.6562707186602
1982-07-01,47.3181550856773
1982-10-01,47.8084467960811
1983-01-01,48.1691692461364
1983-04-01,48.527053864736
1983-07-01,49.0426798019726
1983-10-01,49.414622134036
1984-01-01,49.9149169702644
1984-04-01,50.3421015395526
1984-07-01,50.7897034933362
1984-10-01,51.1692891122696
1985-01-01,51.6751965531979
1985-04-01,52.0078894246189
1985-07-01,52.3215455408879
1985-10-01,52.6141429628553
1986-01-01,52.8758801460095
1986-04-01,53.0760614062026
1986-07-01,53.293839569605
1986-10-01,53.5838844519923
1987-01-01,53.9244318390299
1987-04-01,54.2978926206298
1987-07-01,54.7089039896838
1987-10-01,55.1446066106589
1988-01-01,55.5773771077498
1988-04-01,56.1180816129784
1988-07-01,56.7887438255257
1988-10-01,57.2797014349048
1989-01-01,57.8767407863784
1989-04-01,58.493143330078
1989-07-01,58.9206172801095
1989-10-01,59.340323744576
1990-01-01,59.9802830298259
1990-04-01,60.6520778103842
1990-07-01,61.1719860886099
1990-10-01,61.6274374918899
1991-01-01,62.2310429882941
1991-04-01,62.6876446269849
1991-07-01,63.177475318222
1991-10-01,63.5525837380485
1992-01-01,63.7888907739471
1992-04-01,64.1723172110484
1992-07-01,64.4858696746497
1992-10-01,64.9296427063503
1993-01-01,65.2932214391442
1993-04-01,65.6818398376495
1993-07-01,66.0721894947481
1993-10-01,66.4324542738909
1994-01-01,66.7501386748966
1994-04-01,67.0727671405255
1994-07-01,67.4572500598613
1994-10-01,67.8232700001645
1995-01-01,68.1908893317816
1995-04-01,68.5186686093421
1995-07-01,68.8559809055868
1995-10-01,69.187927652189
1996-01-01,69.5207509475079
1996-04-01,69.8087336475687
1996-07-01,70.0371039405069
1996-10-01,70.4115736750716
1997-01-01,70.831360705685
1997-04-01,70.9745169921003
1997-07-01,71.2825981104812
1997-10-01,71.516634788257
1998-01-01,71.6213187129021
1998-04-01,71.7904561024143
1998-07-01,72.0991049243156
1998-10-01,72.2975304643486
1999-01-01,72.5696144920952
1999-04-01,72.8330934094782
1999-07-01,73.0819586961714
1999-10-01,73.4751170188477
2000-01-01,73.9755443263734
2000-04-01,74.423297978396
2000-07-01,74.8472924746011
2000-10-01,75.2431406833471
2001-01-01,75.703044097973
2001-04-01,76.1609891717399
2001-07-01,76.4673769804295
2001-10-01,76.7202642404805
2002-01-01,76.9730529863203
2002-04-01,77.248931366283
2002-07-01,77.604872344033
2002-10-01,78.0446973746682
2003-01-01,78.3995805141107
2003-04-01,78.630064321796
2003-07-01,79.0560864323398
2003-10-01,79.5232332904624
2004-01-01,80.1151888433821
2004-04-01,80.7687111347588
2004-07-01,81.2965548841988
2004-10-01,81.9235914283222
2005-01-01,82.5725418066944
2005-04-01,83.1508197053852
2005-07-01,83.9027122504594
2005-10-01,84.5780173504509
2006-01-01,85.168130202576
2006-04-01,85.8806727985101
2006-07-01,86.4818613128436
2006-10-01,86.8011029615977
2007-01-01,87.6541936869158
2007-04-01,88.2209541086088
2007-07-01,88.6754944453086
2007-10-01,89.0281028290848
2008-01-01,89.356916398929
2008-04-01,89.8357532090175
2008-07-01,90.5051657741699
2008-10-01,90.7880232694866
2009-01-01,90.7783319641441
2009-04-01,90.6458931732394
2009-07-01,90.7415515763516
2009-10-01,91.0485229937445
2010-01-01,91.2782063808476
2010-04-01,91.7022048703251
2010-07-01,91.9692227723788
2010-10-01,92.4864843817019
2011-01-01,92.9830378451936
2011-04-01,93.5934863466563
2011-07-01,94.1974239944686
2011-10-01,94.3398973604435
2012-01-01,94.9301851373022
2012-04-01,95.3053451837726
2012-07-01,95.7949918036956
2012-10-01,96.2846855749004
2013-01-01,96.6688128459268
2013-04-01,96.9478565004481
2013-07-01,97.4131499452199
2013-10-01,97.9861261371576
2014-01-01,98.387121836612
2014-04-01,98.9365613303568
2014-07-01,99.362141350152
2014-10-01,99.5211452792066
2015-01-01,99.4331286145477
2015-04-01,99.9727472709693
2015-07-01,100.288514640313
2015-10-01,100.299187168969
2016-01-01,100.230014341505
2016-04-01,100.924834282423
2016-07-01,101.266966794888
2016-10-01,101.763033090729
2017-01-01,102.279782861242
2017-04-01,102.595649823767
2017-07-01,103.104482672893
2017-10-01,103.797912250532
2018-01-01,104.409103693746
2018-04-01,105.306232230966
2018-07-01,105.724837275523
2018-10-01,106.227923227536
2019-01-01,106.499445877053
2019-04-01,107.184314561182
2019-07-01,107.556787322792
2019-10-01,107.957856645341
2020-01-01,108.401997150924
2020-04-01,107.830169847774
2020-07-01,108.808142511791
