DATE,DTB3
1975-01-01,0.05775000000000000000
1975-04-01,0.05396875000000000000
1975-07-01,0.06328437500000000000
1975-10-01,0.05637540983606557400
1976-01-01,0.04921290322580645200
1976-04-01,0.05159047619047619000
1976-07-01,0.05151875000000000000
1976-10-01,0.04660491803278688500
1977-01-01,0.04626507936507936500
1977-04-01,0.04843650793650793700
1977-07-01,0.05504761904761904800
1977-10-01,0.06109333333333333300
1978-01-01,0.06389016393442623000
1978-04-01,0.06483174603174603200
1978-07-01,0.07299047619047619000
1978-10-01,0.08560819672131147500
1979-01-01,0.09387741935483871000
1979-04-01,0.09374354838709677400
1979-07-01,0.09650952380952381000
1979-10-01,0.11839344262295082000
1980-01-01,0.13345967741935483900
1980-04-01,0.09618253968253968300
1980-07-01,0.09135468750000000000
1980-10-01,0.13604918032786885200
1981-01-01,0.14352950819672131100
1981-04-01,0.14885396825396825400
1981-07-01,0.15050781250000000000
1981-10-01,0.11777868852459016400
1982-01-01,0.12783278688524590200
1982-04-01,0.12425079365079365100
1982-07-01,0.09306406250000000000
1982-10-01,0.07902950819672131100
1983-01-01,0.08113650793650793700
1983-04-01,0.08407936507936507900
1983-07-01,0.09147031250000000000
1983-10-01,0.08802333333333333300
1984-01-01,0.09177580645161290300
1984-04-01,0.09800952380952381000
1984-07-01,0.10320000000000000000
1984-10-01,0.08834426229508196700
1985-01-01,0.08175000000000000000
1985-04-01,0.07468412698412698400
1985-07-01,0.07106031746031746000
1985-10-01,0.07163709677419354800
1986-01-01,0.06899666666666666700
1986-04-01,0.06137187500000000000
1986-07-01,0.05526562500000000000
1986-10-01,0.05352580645161290300
1987-01-01,0.05538360655737704900
1987-04-01,0.05654920634920634900
1987-07-01,0.06036718750000000000
1987-10-01,0.05869193548387096800
1988-01-01,0.05723225806451612900
1988-04-01,0.06216666666666666700
1988-07-01,0.07016250000000000000
1988-10-01,0.07730819672131147500
1989-01-01,0.08546557377049180300
1989-04-01,0.08403125000000000000
1989-07-01,0.07846984126984127000
1989-10-01,0.07651451612903225800
1990-01-01,0.07763548387096774200
1990-04-01,0.07746666666666666700
1990-07-01,0.07477142857142857100
1990-10-01,0.06994838709677419400
1991-01-01,0.06028666666666666700
1991-04-01,0.05560312500000000000
1991-07-01,0.05379375000000000000
1991-10-01,0.04549032258064516100
1992-01-01,0.03898870967741935500
1992-04-01,0.03679841269841269800
1992-07-01,0.03083593750000000000
1992-10-01,0.03070161290322580600
1993-01-01,0.02960000000000000000
1993-04-01,0.02967619047619047600
1993-07-01,0.03001250000000000000
1993-10-01,0.03059354838709677400
1994-01-01,0.03256451612903225800
1994-04-01,0.03999032258064516100
1994-07-01,0.04480468750000000000
1994-10-01,0.05282295081967213100
1995-01-01,0.05735322580645161300
1995-04-01,0.05594285714285714300
1995-07-01,0.05367777777777777800
1995-10-01,0.05261290322580645200
1996-01-01,0.04930161290322580600
1996-04-01,0.05018125000000000000
1996-07-01,0.05096406250000000000
1996-10-01,0.04973548387096774200
1997-01-01,0.05061666666666666700
1997-04-01,0.05048906250000000000
1997-07-01,0.05049062500000000000
1997-10-01,0.05089516129032258100
1998-01-01,0.05050327868852459000
1998-04-01,0.04974126984126984100
1998-07-01,0.04826250000000000000
1998-10-01,0.04252741935483871000
1999-01-01,0.04407213114754098400
1999-04-01,0.04450156250000000000
1999-07-01,0.04650625000000000000
1999-10-01,0.05047580645161290300
2000-01-01,0.05528730158730158700
2000-04-01,0.05714444444444444400
2000-07-01,0.06019365079365079400
2000-10-01,0.06019838709677419400
2001-01-01,0.04808870967741935500
2001-04-01,0.03655396825396825400
2001-07-01,0.03211803278688524600
2001-10-01,0.01914193548387096800
2002-01-01,0.01720666666666666700
2002-04-01,0.01713906250000000000
2002-07-01,0.01643125000000000000
2002-10-01,0.01342580645161290300
2003-01-01,0.01154754098360655700
2003-04-01,0.01039206349206349200
2003-07-01,0.00928281250000000000
2003-10-01,0.00915645161290322581
2004-01-01,0.00916129032258064516
2004-04-01,0.01078870967741935500
2004-07-01,0.01488281250000000000
2004-10-01,0.02011612903225806500
2005-01-01,0.02543606557377049200
2005-04-01,0.02866718750000000000
2005-07-01,0.03363437500000000000
2005-10-01,0.03826229508196721300
2006-01-01,0.04398870967741935500
2006-04-01,0.04708253968253968300
2006-07-01,0.04906825396825396800
2006-10-01,0.04903548387096774200
2007-01-01,0.04978225806451612900
2007-04-01,0.04737500000000000000
2007-07-01,0.04314920634920634900
2007-10-01,0.03405806451612903200
2008-01-01,0.02058360655737704900
2008-04-01,0.01622656250000000000
2008-07-01,0.01496093750000000000
2008-10-01,0.00307096774193548387
2009-01-01,0.00211803278688524590
2009-04-01,0.00170317460317460317
2009-07-01,0.00159843750000000000
2009-10-01,0.00060483870967741935
2010-01-01,0.00109836065573770492
2010-04-01,0.00148281250000000000
2010-07-01,0.00154843750000000000
2010-10-01,0.00139516129032258065
2011-01-01,0.00126774193548387097
2011-04-01,0.00045238095238095238
2011-07-01,0.00025000000000000000
2011-10-01,0.00014754098360655738
2012-01-01,0.00070645161290322581
2012-04-01,0.00088281250000000000
2012-07-01,0.00101587301587301587
2012-10-01,0.00089672131147540984
2013-01-01,0.00086333333333333333
2013-04-01,0.00051562500000000000
2013-07-01,0.00032187500000000000
2013-10-01,0.00060161290322580645
2014-01-01,0.00049344262295081967
2014-04-01,0.00033015873015873016
2014-07-01,0.00026406250000000000
2014-10-01,0.00022580645161290323
2015-01-01,0.00024590163934426230
2015-04-01,0.00018281250000000000
2015-07-01,0.00042031250000000000
2015-10-01,0.00124193548387096774
